k,author,year,title,type,age,basic_vocab,l1,l2,pretest,lapse _pre2treat,lapse_treat2post,lapse_treat2dpt,spacing,spacing_type,mode,visual_aid,engagement,range,nonword_use,test_announced,test_format,test_reliability,n,r
25,Pellicer?Sánchez & Serrano (2017)_sample 1,2017,Incidental vocabulary acquisition in French as a foreign language,Conference presentation,Primary,x,Spanish,English,Yes,11,10,120,Spaced,Controlled multiple exposures over time,Reading ,No,Yes,46,No,No,Recognition,reported,22,-0.086
35,Webb & Chang (2015),2015,Second language vocabulary learning through extensive reading with audio support: How do frequency and distibution of occurrence affect learning?,Journal Article,Secondary,x,Chinese,English,Yes,7,7,97,Spaced,Controlled multiple exposures over time,RWL,No,Yes,69,No,No,Recognition,not reported,61,-0.03
19,Horst (2000),2000,Text encounters of the frequent kind: learning L2 vocabulary thrugh reading,PhD thesis,University,x,Chinese,English,Yes,7,0,no test,Spaced,Controlled multiple exposures over time,RWL,No,Yes,6,No,No,Recognition,not reported,11,0.01
14,Feng (2017)_average_sample 3,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.92,Chinese,English,Yes,7,0,7,Massed,Single exposure,Listening,No,No,30,No,No,Average ,not reported,15,0.014
26,Pellicer?Sánchez & Serrano (2017)_sample 2,2017,Incidental vocabulary acquisition in French as a foreign language,Conference presentation,Primary,x,Spanish,English,Yes,11,10,120,Spaced,Controlled multiple exposures over time,RWL,No,Yes,46,No,No,Recognition,reported,47,0.023
4,Daskalovska (2014a),2014,Incidental vocabulary acquisition from reading an authentic text,Journal Article,University,0.87,Macedonian,English,Yes,7,1,no test,Massed,Single exposure,RWL,No,No,8,No,No,Recognition,not reported,18,0.06
2,Brown (1993),1993,Factors affecting the acquisition of vocabulary: frequency and saliency of words,Book chapter,x,x,mix,English,Yes,x,x,no test,Spaced,Self-paced multiple exposures,Viewing,Yes,Yes,32,No,No,Recognition,not reported,85,0.063
15,Feng (2017)_average_sample 4,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Average ,not reported,21,0.0655
7,Daskalovska (2014b)_sample 3,2014,Incidental vocabulary learning through reading,Journal Article,University,0.55,Macedonian,English,Yes,7,2,no test,Massed,Single exposure,RWL,No,No,14,No,No,Recognition,not reported,31,0.11
22,Neuman & Koskinen (1992),1992,Captioned television as comprehensible input: effects of incidental word learning from context for language minority students,Journal Article,Secondary,x,mix,English,Yes,x,0,no test,Spaced,Repeated exposures over time,Viewing,Yes,Yes,x,No,No,Recognition,reported,32,0.12
37,Van Zeeland & Schmitt (2013)_average_sample 2,2013,Incidental vocabulary acquisition through L2 listening: adimensions approach,Journal Article,University,x,mix,English,Nonword,no pretest,14,no test,Massed,Controlled multiple exposures within a single day,Listening,No,No,12,Yes,No,Average ,not reported,10,0.2035
